name	DM	vst_residual_variance
SUT432	0.528228554838141	4.01962881843486
YAL067C	0.0585503552601681	1.42598142115295
CUT436	NA	NA
SUT433	-0.146381776006904	0.681614278552631
CUT437	0	0.893658851161422
SUT434	-0.0200251831533437	0.8307393722943
SUT435	-0.0527914463546836	0.857653885390019
CUT438	-0.0628294977911341	0.810242386462968
CUT439	0	NA
YAL054C	0.0961327666056537	1.26643270538625
YAL054C_2	0.0659000811358175	1.270210155631
YAL049C	0.0454560070363042	1.22502026891327
YAL048C	-0.0753769073470532	0.814955446146298
YAL047C	0.0214956357814173	1.1638572468177
YAL046C	-0.0387544036716984	0.799862796199528
YAL044C	0.121926609293027	1.25828122500698
YAL043C	0.0134416987292984	0.982932863921522
YAL040C	0.187980097022195	1.60594927656968
CUT440	-0.0552246855828977	0.800809821668211
YAL039C	0.127850721118029	1.42644855381768
YAL036C	0.0732030958748222	1.0415400297231
YAL034C	-0.0382253670444521	0.907354545545304
YAL032C	-0.121283145208495	0.647110147153839
YAL031C	0.00160831525741911	1.09876706668353
YAL029C	0.00493040823011036	0.932180635306252
YAL026C-A, YAL026C	-0.015437445032285	0.885165394665519
YAL025C	-0.0131539093303783	0.865580652865795
YAL024C	-0.0641373461829937	0.83746666604713
YAL023C	-0.114594065402369	0.657196532584274
YAL022C	-0.0453745894894554	0.811010547612059
YAL021C	-0.0267197863612078	0.972183037504355
YAL020C	-0.0146977819297775	0.907587707203965
YAL015C	-0.0910260909805052	0.791420579615225
YAL014C	-0.139502879504138	0.685648373474336
YAL010C	-0.0343170232456453	0.918208146692894
YAL007C	-0.0438919101269408	0.801830760081213
YAL005C	0.62918183764397	4.4011729532154
YAL001C	0.0462624174246353	1.04817354723151
CUT441	NA	NA
YAR002C-A	0.00450526886338842	0.951613542505688
YAR007C	0.214140796531585	1.78768241974177
YAR014C	-0.078773386245303	0.930867596871242
YAR018C	0.244054687565096	2.30535590882832
YAR019C	0.0585812083684976	0.939149156091759
SUT436	NA	NA
CUT442	-0.0223948879400198	0.91500659254097
SUT001	-0.0541342231639771	0.85634377681095
CUT001	-0.0125445300240887	0.846449247180799
YAL062W	0.0994146234484775	1.24432808872734
YAL061W	0.442684990985286	2.11590424441418
YAL060W	0.125893477645866	1.46643535007472
YAL059W	0.0851223054671175	1.07461411399057
YAL058W	-0.00546490790194992	0.935654228394966
YAL056W	0.116866044412644	1.21060590348709
YAL055W	-0.01407639443855	0.898147948071753
SUT002	-0.044570914384879	0.827171181585328
YAL053W	0.0298411017284669	1.22128589747107
YAL051W	-0.0746224016040939	0.736382594193335
YAL044W-A	0.0402668269801718	1.0771256272362
YAL042W	-0.0958754595647502	0.684474232323881
YAL041W	-0.0231280517934863	0.981474389287021
SUT003	-0.0496813829300871	0.846741399024853
YAL038W	-0.13240856983984	0.974740901097673
YAL037W	-0.0916565534942201	0.798609302742492
YAL035W	-0.18222875218007	0.71094609044476
YAL034W-A	-0.0139985218582424	0.954437871684055
YAL033W	0.0308834159449626	1.10728518833123
YAL030W	0.0543115620624181	1.06983630879701
YAL028W	0.0426888761830442	0.927487782593571
YAL027W	-0.00471499320304464	0.914229530600935
YAL019W-A, YAL019W	-0.0193978371693729	0.878471963642805
YAL017W	-0.100419406629945	0.68884263368758
YAL016W	-0.0585604029298017	0.769937834068089
YAL013W	-0.0538708355723416	0.911672171622547
YAL012W	0.120302240851572	1.3599360751297
YAL011W	0.0682992717558975	1.1764038564316
YAL009W	-0.10717535750795	0.697461185286929
YAL008W	-0.0449346532932914	0.865975702193894
CUT002	0.122666371430318	1.31232507532657
YAL003W, snR18	0.0275001221457682	1.61018813343586
CUT003	0.0321648450102801	1.01341714304571
YAL002W	0.166558735070508	1.20807498403486
YAR002W	-0.0294316610098134	0.955407752302109
YAR003W	-0.0420647264205405	0.749424474078613
YAR008W	0.0786014719454449	1.29748334930217
YAR015W	0.255211929507902	1.84555700453295
CUT004	0.0746073964200794	1.06800853138812
YAR019W-A	0	0.921623451500915
CUT005	0	NA
YAR028W, YAR029W	0.0676303557613748	1.24377239683695
YAR035W	-0.00809588644742643	1.09867981326548
YAR042W	-0.0626455174431428	0.700118561043436
